DT;VARIABLE;VALUE
2017-10-10 18:01:07;feature_34;190
2017-10-10 18:01:07;feature_3;800
2017-10-10 18:04:32;feature_35;120
2017-10-10 18:11:54;feature_6;170
2017-10-10 18:11:54;feature_1;185
2017-10-10 18:11:54;feature_2;190
2017-10-10 18:11:54;feature_34;190
2017-10-10 18:11:54;feature_36;50
2017-10-10 18:11:54;feature_3;800
2017-10-10 18:12:00;feature_4;25
2017-10-10 18:12:00;feature_5;25
2017-10-10 18:12:00;feature_7;25
2017-10-10 18:12:00;feature_8;25
2017-10-10 18:12:00;feature_9;175
2017-10-10 18:12:00;feature_10;25
2017-10-10 18:12:00;feature_11;25
2017-10-10 18:12:00;feature_12;190
2017-10-10 18:12:00;feature_13;25
2017-10-10 18:12:00;feature_14;25
2017-10-10 18:12:00;feature_15;180
2017-10-10 18:12:00;feature_16;25
2017-10-10 18:12:00;feature_17;25
2017-10-10 18:12:00;feature_18;185
2017-10-10 18:12:00;feature_19;25
2017-10-10 18:12:00;feature_20;25
2017-10-10 18:12:00;feature_21;25
2017-10-10 18:12:00;feature_22;25
2017-10-10 18:12:00;feature_23;185
2017-10-10 18:12:00;feature_24;25
2017-10-10 18:12:00;feature_25;25
2017-10-10 18:12:00;feature_26;190
2017-10-10 18:12:00;feature_27;25
2017-10-10 18:12:00;feature_28;25
2017-10-10 18:12:00;feature_29;25
2017-10-10 18:12:00;feature_30;25
2017-10-10 18:12:00;feature_31;190
2017-10-10 18:12:00;feature_32;25
2017-10-10 18:12:00;feature_33;25
2017-10-10 18:12:00;feature_35;120
2017-10-11 09:15:51;feature_6;170
2017-10-11 09:15:51;feature_9;175
2017-10-11 09:15:51;feature_15;180
2017-10-11 09:15:51;feature_1;185
2017-10-11 09:15:51;feature_23;185
2017-10-11 09:15:51;feature_2;190
2017-10-11 09:15:51;feature_34;190
2017-10-11 09:15:51;feature_36;50
2017-10-11 09:15:51;feature_3;800
2017-10-11 09:15:57;feature_4;25
2017-10-11 09:15:57;feature_5;25
2017-10-11 09:15:57;feature_7;25
2017-10-11 09:15:57;feature_8;25
2017-10-11 09:15:57;feature_10;25
2017-10-11 09:15:57;feature_11;25
2017-10-11 09:15:57;feature_12;190
2017-10-11 09:15:57;feature_13;25
2017-10-11 09:15:57;feature_14;25
2017-10-11 09:15:57;feature_16;25
2017-10-11 09:15:57;feature_17;25
2017-10-11 09:15:57;feature_18;185
2017-10-11 09:15:57;feature_19;25
2017-10-11 09:15:57;feature_20;25
2017-10-11 09:15:57;feature_21;25
2017-10-11 09:15:57;feature_22;25
2017-10-11 09:15:57;feature_24;25
2017-10-11 09:15:57;feature_25;25
2017-10-11 09:15:57;feature_26;190
2017-10-11 09:15:57;feature_27;25
2017-10-11 09:15:57;feature_28;25
2017-10-11 09:15:57;feature_29;25
2017-10-11 09:15:57;feature_30;25
2017-10-11 09:15:57;feature_31;190
2017-10-11 09:15:57;feature_32;25
2017-10-11 09:15:57;feature_33;25
2017-10-11 09:15:57;feature_35;120
2017-10-11 13:35:19;feature_1;185
2017-10-11 13:35:19;feature_3;800
2017-10-11 13:35:27;feature_4;25
2017-10-11 13:35:27;feature_5;25
2017-10-11 13:35:27;feature_6;170
2017-10-11 13:35:27;feature_7;25
2017-10-11 13:35:27;feature_8;25
2017-10-11 13:35:27;feature_9;175
2017-10-11 13:35:27;feature_10;25
2017-10-11 13:35:27;feature_11;25
2017-10-11 13:35:27;feature_12;190
2017-10-11 13:35:27;feature_13;25
2017-10-11 13:35:27;feature_14;25
2017-10-11 13:35:27;feature_15;180
2017-10-11 13:35:27;feature_16;25
2017-10-11 13:35:27;feature_17;25
2017-10-11 13:35:27;feature_18;185
2017-10-11 13:35:27;feature_19;25
2017-10-11 13:35:27;feature_20;25
2017-10-11 13:35:27;feature_21;25
2017-10-11 13:35:27;feature_22;25
2017-10-11 13:35:27;feature_23;185
2017-10-11 13:35:27;feature_24;25
2017-10-11 13:35:27;feature_25;25
2017-10-11 13:35:27;feature_26;190
2017-10-11 13:35:27;feature_27;25
2017-10-11 13:35:27;feature_28;25
2017-10-11 13:35:27;feature_2;190
2017-10-11 13:35:27;feature_29;25
2017-10-11 13:35:27;feature_30;25
2017-10-11 13:35:27;feature_31;190
2017-10-11 13:35:27;feature_32;25
2017-10-11 13:35:27;feature_33;25
2017-10-11 13:35:27;feature_34;190
2017-10-11 13:35:27;feature_35;120
2017-10-11 13:35:27;feature_36;50
2017-10-11 14:23:31;feature_1;185
2017-10-11 14:23:31;feature_2;190
2017-10-11 14:23:31;feature_3;800
2017-10-11 14:23:39;feature_4;25
2017-10-11 14:23:39;feature_5;25
2017-10-11 14:23:39;feature_6;170
2017-10-11 14:23:39;feature_7;25
2017-10-11 14:23:39;feature_8;25
2017-10-11 14:23:39;feature_9;175
2017-10-11 14:23:39;feature_10;25
2017-10-11 14:23:39;feature_11;25
2017-10-11 14:23:39;feature_12;190
2017-10-11 14:23:39;feature_13;25
2017-10-11 14:23:39;feature_14;25
2017-10-11 14:23:39;feature_15;180
2017-10-11 14:23:39;feature_16;25
2017-10-11 14:23:39;feature_17;25
2017-10-11 14:23:39;feature_18;185
2017-10-11 14:23:39;feature_19;25
2017-10-11 14:23:39;feature_20;25
2017-10-11 14:23:39;feature_21;25
2017-10-11 14:23:39;feature_22;25
2017-10-11 14:23:39;feature_23;185
2017-10-11 14:23:39;feature_24;25
2017-10-11 14:23:39;feature_25;25
2017-10-11 14:23:39;feature_26;190
2017-10-11 14:23:39;feature_27;25
2017-10-11 14:23:39;feature_28;25
2017-10-11 14:23:39;feature_29;25
2017-10-11 14:23:39;feature_30;25
2017-10-11 14:23:39;feature_31;190
2017-10-11 14:23:39;feature_32;25
2017-10-11 14:23:39;feature_33;25
2017-10-11 14:23:39;feature_34;190
2017-10-11 14:23:39;feature_35;120
2017-10-11 14:23:39;feature_36;50
2017-10-11 14:37:10;feature_4;25
2017-10-11 14:37:10;feature_5;25
2017-10-11 14:37:10;feature_6;170
2017-10-11 14:37:10;feature_7;25
2017-10-11 14:37:10;feature_8;25
2017-10-11 14:37:10;feature_9;175
2017-10-11 14:37:10;feature_10;25
2017-10-11 14:37:10;feature_11;25
2017-10-11 14:37:10;feature_12;190
2017-10-11 14:37:10;feature_13;25
2017-10-11 14:37:10;feature_14;25
2017-10-11 14:37:10;feature_15;180
2017-10-11 14:37:10;feature_16;25
2017-10-11 14:37:10;feature_17;25
2017-10-11 14:37:10;feature_18;185
2017-10-11 14:37:10;feature_19;25
2017-10-11 14:37:10;feature_20;25
2017-10-11 14:37:10;feature_1;185
2017-10-11 14:37:10;feature_21;25
2017-10-11 14:37:10;feature_22;25
2017-10-11 14:37:10;feature_23;185
2017-10-11 14:37:10;feature_24;25
2017-10-11 14:37:10;feature_25;25
2017-10-11 14:37:10;feature_26;190
2017-10-11 14:37:10;feature_27;25
2017-10-11 14:37:10;feature_28;25
2017-10-11 14:37:10;feature_2;190
2017-10-11 14:37:10;feature_29;25
2017-10-11 14:37:10;feature_30;25
2017-10-11 14:37:10;feature_31;190
2017-10-11 14:37:10;feature_32;25
2017-10-11 14:37:10;feature_33;25
2017-10-11 14:37:10;feature_34;190
2017-10-11 14:37:10;feature_35;120
2017-10-11 14:37:10;feature_36;50
2017-10-11 14:37:10;feature_3;800
2017-10-11 14:39:30;feature_6;170
2017-10-11 14:39:30;feature_1;185
2017-10-11 14:39:30;feature_2;190
2017-10-11 14:39:30;feature_34;190
2017-10-11 14:39:30;feature_36;50
2017-10-11 14:39:30;feature_3;800
2017-10-11 14:39:37;feature_4;25
2017-10-11 14:39:37;feature_5;25
2017-10-11 14:39:37;feature_7;25
2017-10-11 14:39:37;feature_8;25
2017-10-11 14:39:37;feature_9;175
2017-10-11 14:39:37;feature_10;25
2017-10-11 14:39:37;feature_11;25
2017-10-11 14:39:37;feature_12;190
2017-10-11 14:39:37;feature_13;25
2017-10-11 14:39:37;feature_14;25
2017-10-11 14:39:37;feature_15;180
2017-10-11 14:39:37;feature_16;25
2017-10-11 14:39:37;feature_17;25
2017-10-11 14:39:37;feature_18;185
2017-10-11 14:39:37;feature_19;25
2017-10-11 14:39:37;feature_20;25
2017-10-11 14:39:37;feature_21;25
2017-10-11 14:39:37;feature_22;25
2017-10-11 14:39:37;feature_23;185
2017-10-11 14:39:37;feature_24;25
2017-10-11 14:39:37;feature_25;25
2017-10-11 14:39:37;feature_26;190
2017-10-11 14:39:37;feature_27;25
2017-10-11 14:39:37;feature_28;25
2017-10-11 14:39:37;feature_29;25
2017-10-11 14:39:37;feature_30;25
2017-10-11 14:39:37;feature_31;190
2017-10-11 14:39:37;feature_32;25
2017-10-11 14:39:37;feature_33;25
2017-10-11 14:39:37;feature_35;120
2017-10-11 14:44:01;feature_1;185
2017-10-11 14:44:01;feature_2;190
2017-10-11 14:44:01;feature_3;800
2017-10-11 14:44:08;feature_4;25
2017-10-11 14:44:08;feature_5;25
2017-10-11 14:44:08;feature_6;170
2017-10-11 14:44:08;feature_7;25
2017-10-11 14:44:08;feature_8;25
2017-10-11 14:44:08;feature_9;175
2017-10-11 14:44:08;feature_10;25
2017-10-11 14:44:08;feature_11;25
2017-10-11 14:44:08;feature_12;190
2017-10-11 14:44:08;feature_13;25
2017-10-11 14:44:08;feature_14;25
2017-10-11 14:44:08;feature_15;180
2017-10-11 14:44:08;feature_16;25
2017-10-11 14:44:08;feature_17;25
2017-10-11 14:44:08;feature_18;185
2017-10-11 14:44:08;feature_19;25
2017-10-11 14:44:08;feature_20;25
2017-10-11 14:44:08;feature_21;25
2017-10-11 14:44:08;feature_22;25
2017-10-11 14:44:08;feature_23;185
2017-10-11 14:44:08;feature_24;25
2017-10-11 14:44:08;feature_25;25
2017-10-11 14:44:08;feature_26;190
2017-10-11 14:44:08;feature_27;25
2017-10-11 14:44:08;feature_28;25
2017-10-11 14:44:08;feature_29;25
2017-10-11 14:44:08;feature_30;25
2017-10-11 14:44:08;feature_31;190
2017-10-11 14:44:08;feature_32;25
2017-10-11 14:44:08;feature_33;25
2017-10-11 14:44:08;feature_34;190
2017-10-11 14:44:08;feature_35;120
2017-10-11 14:44:08;feature_36;50
2017-10-11 14:46:57;feature_1;185
2017-10-11 14:46:57;feature_2;190
2017-10-11 14:46:57;feature_3;800
2017-10-11 14:47:04;feature_4;25
2017-10-11 14:47:04;feature_5;25
2017-10-11 14:47:04;feature_6;170
2017-10-11 14:47:04;feature_7;25
2017-10-11 14:47:04;feature_8;25
2017-10-11 14:47:04;feature_9;175
2017-10-11 14:47:04;feature_10;25
2017-10-11 14:47:04;feature_11;25
2017-10-11 14:47:04;feature_12;190
2017-10-11 14:47:04;feature_13;25
2017-10-11 14:47:04;feature_14;25
2017-10-11 14:47:04;feature_15;180
2017-10-11 14:47:04;feature_16;25
2017-10-11 14:47:04;feature_17;25
2017-10-11 14:47:04;feature_18;185
2017-10-11 14:47:04;feature_19;25
2017-10-11 14:47:04;feature_20;25
2017-10-11 14:47:04;feature_21;25
2017-10-11 14:47:04;feature_22;25
2017-10-11 14:47:04;feature_23;185
2017-10-11 14:47:04;feature_24;25
2017-10-11 14:47:04;feature_25;25
2017-10-11 14:47:04;feature_26;190
2017-10-11 14:47:04;feature_27;25
2017-10-11 14:47:04;feature_28;25
2017-10-11 14:47:04;feature_29;25
2017-10-11 14:47:04;feature_30;25
2017-10-11 14:47:04;feature_31;190
2017-10-11 14:47:04;feature_32;25
2017-10-11 14:47:04;feature_33;25
2017-10-11 14:47:04;feature_34;190
2017-10-11 14:47:04;feature_35;120
2017-10-11 14:47:04;feature_36;50
2017-10-15 23:30:06;feature_6;165
2017-10-15 23:30:06;feature_9;175
2017-10-15 23:30:06;feature_12;185
2017-10-15 23:30:06;feature_15;175
2017-10-15 23:30:06;feature_18;180
2017-10-15 23:30:06;feature_1;180
2017-10-15 23:30:06;feature_23;185
2017-10-15 23:30:06;feature_26;185
2017-10-15 23:30:06;feature_2;185
2017-10-15 23:30:06;feature_31;185
2017-10-15 23:30:06;feature_34;185
2017-10-15 23:30:06;feature_36;50
2017-10-15 23:30:06;feature_3;700
2017-10-15 23:30:10;feature_4;25
2017-10-15 23:30:10;feature_5;25
2017-10-15 23:30:10;feature_7;25
2017-10-15 23:30:10;feature_8;25
2017-10-15 23:30:10;feature_10;25
2017-10-15 23:30:10;feature_11;25
2017-10-15 23:30:10;feature_13;25
2017-10-15 23:30:10;feature_14;25
2017-10-15 23:30:10;feature_16;25
2017-10-15 23:30:10;feature_17;25
2017-10-15 23:30:10;feature_19;25
2017-10-15 23:30:10;feature_20;25
2017-10-15 23:30:10;feature_21;25
2017-10-15 23:30:10;feature_22;25
2017-10-15 23:30:10;feature_24;25
2017-10-15 23:30:10;feature_25;25
2017-10-15 23:30:10;feature_27;25
2017-10-15 23:30:10;feature_28;25
2017-10-15 23:30:10;feature_29;25
2017-10-15 23:30:10;feature_30;25
2017-10-15 23:30:10;feature_32;25
2017-10-15 23:30:10;feature_33;25
2017-10-15 23:30:10;feature_35;250
2017-10-16 01:11:23;feature_6;170
2017-10-16 01:12:39;feature_3;650
2017-10-19 13:28:42;feature_6;170
2017-10-19 13:28:42;feature_9;175
2017-10-19 13:28:42;feature_15;180
2017-10-19 13:28:42;feature_1;185
2017-10-19 13:28:42;feature_23;185
2017-10-19 13:28:42;feature_2;190
2017-10-19 13:28:42;feature_31;190
2017-10-19 13:28:42;feature_34;190
2017-10-19 13:28:42;feature_36;50
2017-10-19 13:28:42;feature_3;800
2017-10-19 13:28:48;feature_4;25
2017-10-19 13:28:48;feature_5;25
2017-10-19 13:28:48;feature_7;25
2017-10-19 13:28:48;feature_8;25
2017-10-19 13:28:48;feature_10;25
2017-10-19 13:28:48;feature_11;25
2017-10-19 13:28:48;feature_12;190
2017-10-19 13:28:48;feature_13;25
2017-10-19 13:28:48;feature_14;25
2017-10-19 13:28:48;feature_16;25
2017-10-19 13:28:48;feature_17;25
2017-10-19 13:28:48;feature_18;185
2017-10-19 13:28:48;feature_19;25
2017-10-19 13:28:48;feature_20;25
2017-10-19 13:28:48;feature_21;25
2017-10-19 13:28:48;feature_22;25
2017-10-19 13:28:48;feature_24;25
2017-10-19 13:28:48;feature_25;25
2017-10-19 13:28:48;feature_26;190
2017-10-19 13:28:48;feature_27;25
2017-10-19 13:28:48;feature_28;25
2017-10-19 13:28:48;feature_29;25
2017-10-19 13:28:48;feature_30;25
2017-10-19 13:28:48;feature_32;25
2017-10-19 13:28:48;feature_33;25
2017-10-19 13:28:48;feature_35;120
2017-10-19 14:41:38;feature_6;170
2017-10-19 14:41:38;feature_9;175
2017-10-19 14:41:38;feature_15;180
2017-10-19 14:41:38;feature_1;185
2017-10-19 14:41:38;feature_23;185
2017-10-19 14:41:38;feature_2;190
2017-10-19 14:41:38;feature_34;190
2017-10-19 14:41:38;feature_36;50
2017-10-19 14:41:38;feature_3;800
2017-10-19 14:41:43;feature_4;25
2017-10-19 14:41:43;feature_5;25
2017-10-19 14:41:43;feature_7;25
2017-10-19 14:41:43;feature_8;25
2017-10-19 14:41:43;feature_10;25
2017-10-19 14:41:43;feature_11;25
2017-10-19 14:41:43;feature_12;190
2017-10-19 14:41:43;feature_13;25
2017-10-19 14:41:43;feature_14;25
