DT;feature_6;feature_12;feature_9;feature_15;feature_18;feature_1;feature_23;feature_26;feature_2;feature_31;feature_34;feature_36;feature_3;ltime;rtime
2018-10-02;165.0;165.0;165.0;165.0;165.0;165;175.0;185.0;185;185.0;165.0;50.0;800;2018-10-02 07:19:36;2018-10-02 07:20:57
2018-10-03;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-10-03 05:48:22;2018-10-03 05:49:39
2018-10-07;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-10-07 04:34:51;2018-10-07 15:39:02
2018-10-08;210.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;5.0;800;2018-10-08 15:25:58;2018-10-08 16:02:21
2018-10-09;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-10-09 11:25:34;2018-10-09 20:22:19
2018-10-18;170.0;188.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;188.0;50.0;800;2018-10-18 11:49:19;2018-10-18 16:52:03
2018-10-19;165.0;188.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;187.0;50.0;800;2018-10-19 07:01:44;2018-10-19 07:42:05
2018-10-20;165.0;188.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;187.0;50.0;800;2018-10-20 15:59:36;2018-10-20 15:59:45
2018-10-24;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-10-24 01:29:57;2018-10-24 04:12:21
2018-11-01;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-11-01 19:37:01;2018-11-01 20:30:12
2018-11-08;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-11-08 12:19:42;2018-11-08 13:11:10
2018-11-13;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-11-13 21:25:03;2018-11-13 21:25:12
2018-11-15;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-11-15 08:17:48;2018-11-15 19:38:50
2018-11-19;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-11-19 08:24:58;2018-11-19 08:24:58
2019-01-19;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2019-01-19 08:29:00;2019-01-19 08:31:03
2019-02-12;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2019-02-12 00:28:21;2019-02-12 04:07:30
2019-02-13;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2019-02-13 01:27:06;2019-02-13 01:27:06
2019-03-07;165.0;180.0;170.0;175.0;180.0;183;185.0;185.0;185;185.0;180.0;50.0;800;2019-03-07 11:42:31;2019-03-07 12:08:08
2019-03-08;170.0;190.0;175.0;185.0;185.0;185;185.0;185.0;185;185.0;188.0;50.0;800;2019-03-08 14:48:06;2019-03-08 17:02:40
2019-05-23;170.0;190.0;175.0;185.0;185.0;185;185.0;185.0;185;185.0;188.0;50.0;800;2019-05-23 18:25:43;2019-05-23 18:36:50
2019-05-24;170.0;190.0;175.0;185.0;185.0;185;185.0;185.0;185;185.0;188.0;50.0;800;2019-05-24 09:19:52;2019-05-24 09:20:01
2019-05-25;170.0;190.0;175.0;185.0;185.0;185;185.0;185.0;185;185.0;188.0;50.0;800;2019-05-25 06:22:35;2019-05-25 07:53:51
2019-06-14;170.0;190.0;175.0;185.0;185.0;185;185.0;185.0;185;185.0;188.0;50.0;800;2019-06-14 14:28:28;2019-06-14 14:28:28
2019-06-16;170.0;190.0;175.0;185.0;185.0;185;185.0;185.0;185;185.0;185.0;50.0;800;2019-06-16 07:56:51;2019-06-16 10:28:00
2019-06-19;170.0;190.0;175.0;185.0;185.0;185;185.0;185.0;185;185.0;185.0;50.0;800;2019-06-19 10:13:52;2019-06-19 10:13:52
